GEOGRAPHY,Total Vacnt Homes,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",For migrant workers,Other vacant
ARLINGTON HEIGHTS,33,15,0,6,0,0,0,12
BLUE ASH,399,47,0,11,52,85,0,204
EVENDALE,49,6,1,0,0,0,0,42
AMBERLEY VILLAGE,56,1,0,30,0,0,0,24
READING,368,130,25,2,0,28,0,183
CHEVIOT,367,2,0,46,0,14,0,306
LOCKLAND,183,28,8,0,0,0,0,147
CROSBY TOWNSHIP,56,0,0,0,0,0,0,56
ADDYSTON,67,16,0,0,0,3,0,48
HARRISON TOWNSHIP,144,3,0,30,38,7,0,66
SYCAMORE TOWNSHIP,438,183,49,25,37,0,0,144
NORWOOD,1159,175,21,99,26,30,0,809
